goal_index,iteration,sequence_index,timestep_index,x,y,z
1,2,9,0,0.09025799321156441,-0.10175988048128169,1.1310067932593926
1,2,9,1,0.1643373441811245,-0.11350319121302423,1.0279916020644968
1,2,9,2,0.24654425210785308,-0.14482143520415625,0.9201805842169444
1,2,9,3,0.14260117692522004,-0.14994012988142058,0.9184454992365433
1,2,9,4,0.18142618169825292,-0.19214199801745843,0.8224845587488981
1,2,10,0,0.12194530951901977,-0.15122516585332124,1.1080161303550837
1,2,10,1,0.1636999137073915,-0.09900852613247488,1.04909146273954
1,2,10,2,0.07763484577020277,-0.1580952771925481,1.0039215939122195
1,2,10,3,0.18450963046011395,-0.14024906236541862,0.8866269529307973
1,2,10,4,0.15970241970442117,-0.161830572664733,0.8618712402524714
1,2,11,0,0.0764526547809638,-0.06413758159984134,1.1349147167447438
1,2,11,1,0.09615197271730445,-0.12761210727492128,1.0518712781828334
1,2,11,2,0.16318114929379052,-0.12114171788462466,0.9700304821988744
1,2,11,3,0.1604396318435319,-0.17594545244579513,0.8930863579861749
1,2,11,4,0.2068121173258336,-0.23118673637669185,0.765247795040001
1,2,12,0,0.09401126563796869,-0.0641539626272303,1.128707519847537
1,2,12,1,0.13281978336254918,-0.15500530326226888,1.0627214222327122
1,2,12,2,0.18969198012885669,-0.12430564993548396,0.9364532716285388
1,2,12,3,0.1502445646618402,-0.2247482948502665,0.870806829269281
1,2,12,4,0.28136150851700215,-0.1746465087193962,0.7523507717426716
1,2,13,0,0.1492149069975199,-0.08516037648481288,1.097748722606037
1,2,13,1,0.13476274272525907,-0.06072241935421721,1.0550059078374086
1,2,13,2,0.17723822230621572,-0.1347212286765963,0.9665254321552252
1,2,13,3,0.14795469855069848,-0.189863841965013,0.896894138064875
1,2,13,4,0.19811248256482866,-0.21569643956423304,0.8044279028657887
1,2,14,0,0.09296428981488758,-0.10154884787094692,1.13329904130982
1,2,14,1,0.09003503143245802,-0.07375137874326942,1.0508396971254241
1,2,14,2,0.10683447632272594,-0.127308028599448,1.0031180126463213
1,2,14,3,0.19525370930315145,-0.17234937868763792,0.8821613256715165
1,2,14,4,0.2202654556802803,-0.2244325487195659,0.771636164193703
1,2,15,0,0.14298466409643829,-0.11652820216414737,1.1187270011304233
1,2,15,1,0.17917608380605343,-0.11656516182473839,1.0145031103229714
1,2,15,2,0.17201853574407505,-0.1700639651144041,0.9522328298171387
1,2,15,3,0.19589236461241377,-0.19542757021827906,0.8640174643754601
1,2,15,4,0.21294943843788183,-0.23887379031718156,0.790744586466723
1,2,16,0,0.128176875884712,-0.07343187017126758,1.1192834470670152
1,2,16,1,0.12739770234773795,-0.12855763755263241,1.0303964350258674
1,2,16,2,0.12884249262487762,-0.1393222158042572,0.9569435261936532
1,2,16,3,0.15504487033761477,-0.20869224654674806,0.8679808271505723
1,2,16,4,0.2358037398308269,-0.18381257483959879,0.7737333117685986
1,2,17,0,0.12449725502779488,-0.05091795125660464,1.124476758866557
1,2,17,1,0.20262257313349952,-0.13142660741694742,1.0274340222395457
1,2,17,2,0.17831281869047172,-0.11485460936804676,0.9611091686583398
1,2,17,3,0.17960940678632004,-0.14223513656739056,0.8824060930922217
1,2,17,4,0.180769205357885,-0.21413706807842314,0.8384803028093357
1,2,18,0,0.13316926141108257,-0.06728641684874656,1.13864200934644
1,2,18,1,0.15636109557251865,-0.12104640423248482,1.053668324654769
1,2,18,2,0.18502178132569536,-0.1636088117264925,0.9651956892960282
1,2,18,3,0.1857527160145126,-0.14567143952535236,0.8953444667202914
1,2,18,4,0.21023741659275305,-0.21805380720084788,0.77062920376663
1,2,19,0,0.10411541580829073,-0.0831239862704826,1.1180332212942492
1,2,19,1,0.15261554731554522,-0.08546769280735923,1.0726624493722285
1,2,19,2,0.20088940419899332,-0.12063608326695244,0.9380080167512495
1,2,19,3,0.22078052821320965,-0.13751997531787938,0.8970850334875876
1,2,19,4,0.1700504815592744,-0.22324944256942542,0.7963067307564848
1,2,20,0,0.02613934242870597,-0.08660150222432406,1.136411166731632
1,2,20,1,0.12994816253588873,-0.10328612054457909,1.0551287185080696
1,2,20,2,0.13827145085280323,-0.17447860648671912,0.9681862006848855
1,2,20,3,0.19645667189605626,-0.17950924034821242,0.8799831144353163
1,2,20,4,0.18470898899169,-0.20643093748946828,0.8484058440709497
1,2,21,0,0.09752176268690219,-0.06417395450715777,1.1286731397712404
1,2,21,1,0.15776003521735138,-0.12047765777588579,1.0199725689431394
1,2,21,2,0.12932330625503752,-0.17850692433750937,0.982682480679332
1,2,21,3,0.23418627686958937,-0.18986423683993287,0.8351812097037596
1,2,21,4,0.18396863291893073,-0.2469418740356651,0.7987426296333778
1,2,22,0,0.08370266228366698,-0.0644873322730811,1.1169784668023401
1,2,22,1,0.1526345021651082,-0.14062168875071604,1.054122782002536
1,2,22,2,0.15722138805430919,-0.0839530170475551,0.9646077426246167
1,2,22,3,0.16805044445036105,-0.1661818137840046,0.8944229394504106
1,2,22,4,0.21938263579139206,-0.23318651790898878,0.7796582374568561
1,2,23,0,0.05287376817191039,-0.06543615880461731,1.1440959046241066
1,2,23,1,0.1736462632134112,-0.14519427149316122,1.0098471659908337
1,2,23,2,0.12896945792784742,-0.13597567515903206,0.9742412059955969
1,2,23,3,0.17772895496188648,-0.19947284335362178,0.8429718704071135
1,2,23,4,0.2308646695102229,-0.2230836311556405,0.7803470955727674
1,2,24,0,0.0926609950645814,-0.0498241326415419,1.141941366205833
1,2,24,1,0.03378279053373641,-0.06106942600014055,1.0924931122016228
1,2,24,2,0.15562241733896587,-0.13330360680613051,0.9719247854543507
1,2,24,3,0.16892964935005378,-0.17655372818595536,0.8937625505972333
1,2,24,4,0.20783627416807493,-0.2506994923891438,0.7822552394467011
1,2,25,0,0.08984235531170605,-0.04787087624035909,1.1438896961997376
1,2,25,1,0.08001776867416363,-0.08570092481000435,1.0688085472636393
1,2,25,2,0.1614677670133841,-0.10258117386904762,0.9870822444851846
1,2,25,3,0.20062808631875878,-0.1743857924617997,0.848534962133341
1,2,25,4,0.19821993542474448,-0.19546305468632663,0.828392002082107
1,3,1,-1,0.10383882201548716,-0.07950218588519758,1.128707766420326
1,3,1,0,0.15605434475194707,-0.12155999941898245,1.0693657311573437
1,3,1,1,0.21759726239836352,-0.13790633145139405,0.9636779474514272
1,3,1,2,0.1849471353607443,-0.1717828340147094,0.913623906421879
1,3,1,3,0.20474354174789877,-0.21031646353963487,0.8507742228356342
1,3,1,4,0.2040889123952504,-0.23174835219226858,0.7614764021454745
1,3,2,0,0.07501907394002864,-0.09457056926683438,1.1018098966215042
1,3,2,1,0.13604996101067485,-0.14939628129129048,1.0284167330349603
1,3,2,2,0.20404894418207176,-0.14476025784511642,0.9108870277547786
1,3,2,3,0.170726223717249,-0.16700899727036017,0.8841293331207424
1,3,2,4,0.2177921913106267,-0.2201915137329677,0.7350130521247924
1,3,3,0,0.11622263692526812,-0.11772849273981806,1.0838579408299711
1,3,3,1,0.19245907809211593,-0.10122545892538554,0.992372330636739
1,3,3,2,0.19609036041056843,-0.17190432382177198,0.913717033177308
